"city","lat","lng","population","country"
"Beyla","8.6870","-8.6570","13204","Guinea"
"Forecariah","9.4300","-13.0980","12358","Guinea"
"Kissidougou","9.1905","-10.1200","66815","Guinea"
"Fria","10.3804","-13.5500","23729","Guinea"
"Conakry","9.5092","-13.7122","1667864","Guinea"
"Faranah","10.0404","-10.7500","19469","Guinea"
"Kankan","10.3900","-9.3100","114009","Guinea"
"Boke","10.9400","-14.3000","116270","Guinea"
"Dabola","10.7500","-11.1167","38617","Guinea"
"Gueckedou","8.5667","-10.1333","221715","Guinea"
"Tougue","11.4400","-11.6700","25531","Guinea"
"N'Zerekore","7.7600","-8.8300","168121","Guinea"
"Kouroussa","10.6530","-9.8920","14223","Guinea"
"Labe","11.3167","-12.2833","107695","Guinea"
"Ouranbaya","10.2699","-9.3436","1719","Guinea"
"Pita","11.0800","-12.4010","20052","Guinea"
"Zimpa","7.3044","-8.9751","596","Guinea"
"Mamou","10.3736","-12.0847","71153","Guinea"
"Dalaba","10.6560","-12.2720","6349","Guinea"
"Koundara","12.4800","-13.2960","13990","Guinea"
"Macenta","8.5504","-9.4800","43102","Guinea"
"Siguiri","11.4189","-9.1644","183875","Guinea"
"Kerouane","9.2704","-9.0200","15406","Guinea"
"Gaoual","11.7540","-13.2130","7461","Guinea"
"Mali","12.0840","-12.3010","5479","Guinea"
"Kindia","10.0600","-12.8700","117062","Guinea"
"Boffa","10.1850","-14.0430","2332","Guinea"
"Yomou","7.5660","-9.2533","3614","Guinea"
"Kouya Siria","9.7950","-10.0830","1200","Guinea"
"Telimele","10.9050","-13.0430","30311","Guinea"
"Dinguiraye","11.2990","-10.7260","6062","Guinea"
"Kamsar","10.6500","-14.6167","68999","Guinea"
