"city","lat","lng","population", "country"
"Khartoum","15.6031","32.5265","7282000","Sudan"
"Kusti","13.1700","32.6600","345068","Sudan"
"Wadi Halfa'","21.8000","31.3500","17121","Sudan"
"Karmah an Nuzul","19.6008","30.4097","3928","Sudan"
"Al Manaqil","14.2504","32.9800","151827","Sudan"
"Shendi","16.6805","33.4200","186611","Sudan"
"Dongola","19.1666","30.4833","26404","Sudan"
"El Obeid","13.1833","30.2167","418280","Sudan"
"Nyala","12.0500","24.8833","227183","Sudan"
"El Fasher","13.6300","25.3500","252609","Sudan"
"Tokar","18.4333","37.7333","73202","Sudan"
"Berber","18.0170","33.9833","49556","Sudan"
"An Nuhud","12.6904","28.4200","108008","Sudan"
"Umm Ruwaba","12.9058","31.2156","55742","Sudan"
"Al Mijlad","11.0337","27.7333","19997","Sudan"
"Ad Diwem","13.9904","32.3000","87068","Sudan"
"Kurmuk","10.5563","34.2848","250000","Sudan"
"Khartoum North","15.6333","32.6333","936349","Sudan"
"Ed Damazin","11.7704","34.3500","186051","Sudan"
"EdDamer","17.5900","33.9600","103941","Sudan"
"Atbara","17.7167","33.9833","139768","Sudan"
"Kassala","15.4500","36.4000","536009","Sudan"
"Kadugli","11.0100","29.7000","176931","Sudan"
"Abu Hamad","19.5370","33.3260","50000","Sudan"
"Wad Medani","14.4000","33.5100","332714","Sudan"
"Gedaref","14.0333","35.3833","354927","Sudan"
"Marawi","18.4833","31.8167","10234","Sudan"
"Omdurman","15.6835","32.4629","2805396","Sudan"
"Babanusah","11.3334","27.8000","19700","Sudan"
"Sannar","13.5500","33.6000","130122","Sudan"
"Haya","18.3461","36.3969","20000","Sudan"
"Port Sudan","19.6158","37.2164","489275","Sudan"
"El Geneina","13.4500","22.4400","162981","Sudan"
"Sawakin","19.1000","37.3333","43337","Sudan"
